Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
cowling gym,2,2,0.00%,25.00%,0:06:00,1.5
cowling papers,2,2.5,50.00%,20.00%,0:06:55,0
curfew,2,1,0.00%,100.00%,0:00:41,0
dance,2,4,50.00%,12.50%,0:10:08,0.5
david porter,2,3,100.00%,0.00%,0:00:24,0
dean lodge,2,3.5,0.00%,42.86%,0:00:31,2
demographics,2,1.5,50.00%,33.33%,0:00:18,0
departmental review,2,2.5,0.00%,40.00%,0:11:00,1
dining,2,2,0.00%,25.00%,0:04:39,12
directory,2,2.5,50.00%,20.00%,0:01:27,0
divestment,2,3.5,0.00%,28.57%,0:02:41,2
dixon bond,2,2,100.00%,0.00%,0:02:16,1
Donald Cowling,2,2.5,0.00%,40.00%,0:01:21,0
dorm,2,4,0.00%,25.00%,0:02:13,3
dorms,2,2,50.00%,25.00%,0:01:28,0
Douglas house,2,3.5,50.00%,14.29%,0:00:59,0.5
Duncan Stewart,2,4,50.00%,0.00%,0:04:23,4.5
ebony ii,2,11.5,100.00%,0.00%,0:04:16,5.5
economics,2,4.5,100.00%,0.00%,0:01:04,0.5
elle hansen,2,3,0.00%,66.67%,0:00:43,1
endowment,2,8.5,0.00%,17.65%,0:06:32,0
erling,2,1.5,0.00%,66.67%,0:00:21,0
etb,2,6,0.00%,16.67%,0:01:11,1.5
ETB,2,6.5,0.00%,15.38%,0:01:55,0.5
evans hall,2,5,50.00%,10.00%,0:02:49,3
facilities,2,2,50.00%,25.00%,0:01:46,0
faculty,2,1,50.00%,50.00%,0:00:10,0
Feminist,2,1,100.00%,0.00%,0:00:00,0
first day,2,2,0.00%,50.00%,0:01:46,1.5
flood,2,3.5,100.00%,0.00%,0:01:51,0
flowers,2,4.5,100.00%,22.22%,0:01:22,3
food,2,1.5,50.00%,33.33%,0:01:51,0.5
foundations,2,1,0.00%,100.00%,0:01:35,0
france,2,1.5,0.00%,66.67%,0:01:25,0.5
Frank Wright,2,3.5,50.00%,14.29%,0:00:25,0.5
freshman,2,3,0.00%,33.33%,0:02:10,0
furioso,2,2.5,0.00%,40.00%,0:03:39,0
gay,2,7,0.00%,35.71%,0:11:37,1
Genevieve Tucker,2,2,50.00%,25.00%,0:01:05,0
goat,2,4.5,0.00%,11.11%,0:02:09,3
gould red,2,1,100.00%,0.00%,0:00:00,0
graphic,2,1,0.00%,50.00%,0:05:07,15
gridley hall,2,7,50.00%,7.14%,0:07:47,4.5
grow,2,1.5,0.00%,100.00%,0:11:43,2
Halloween,2,1,100.00%,0.00%,0:00:00,0
high school,2,1,0.00%,100.00%,0:00:43,1
hughes family,2,2,0.00%,50.00%,0:05:40,0
hulings,2,2.5,100.00%,0.00%,0:00:19,0
hundred years,2,2.5,50.00%,40.00%,0:00:21,0
international,2,1.5,50.00%,33.33%,0:00:15,0
interview video,2,8,50.00%,6.25%,0:02:16,0
investment committee,2,8.5,0.00%,5.88%,0:05:46,7.5
iseminger,2,1,0.00%,50.00%,0:06:56,0.5
keith harrison,2,1.5,0.00%,33.33%,0:00:35,0.5
lagniappe,2,2,0.00%,50.00%,0:00:32,0
laird field,2,3.5,0.00%,14.29%,0:08:04,4.5
larry gould,2,2,0.00%,25.00%,0:01:04,2.5
late night trivia,2,1,0.00%,100.00%,0:05:16,0
leighton,2,5.5,0.00%,18.18%,0:09:09,0.5
Leighton Hall,2,4.5,0.00%,22.22%,0:21:56,6
lgbc,2,3.5,0.00%,28.57%,0:16:36,1
LGBT,2,1.5,0.00%,66.67%,0:01:25,0.5
library addition,2,1.5,50.00%,33.33%,0:00:09,0
ltc,2,1,0.00%,100.00%,0:02:32,0
LTc,2,1.5,100.00%,0.00%,0:00:08,0.5
lyman,2,2.5,50.00%,20.00%,0:00:15,0
Lyman Lakes,2,1,0.00%,50.00%,0:00:13,1
Lyman Sperry,2,1.5,50.00%,33.33%,0:02:40,0
madrigal,2,2,0.00%,0.00%,0:05:14,1.5
magnetic tape,2,2,0.00%,25.00%,0:03:05,1.5
maitland,2,2.5,50.00%,20.00%,0:00:19,0.5
manuscript,2,1,0.00%,100.00%,0:01:22,0
margaret evans,2,1,0.00%,50.00%,0:01:03,2.5
margaret thompson,2,1,0.00%,100.00%,0:00:21,0
margaret thomson,2,1.5,0.00%,33.33%,0:00:40,2
martha donaldson,2,2.5,0.00%,0.00%,0:04:14,3
master plan,2,3,50.00%,16.67%,0:00:29,0
May Fete,2,20,100.00%,0.00%,0:11:21,8
Medley,2,1.5,100.00%,0.00%,0:00:10,0
men tennis,2,5.5,100.00%,0.00%,0:02:28,0.5
Men's Golf,2,5.5,50.00%,9.09%,0:02:19,2.5
metric football,2,2.5,0.00%,60.00%,0:02:43,0.5
mid winter ball,2,5.5,0.00%,27.27%,0:01:31,3
midwinter ball,2,8.5,0.00%,5.88%,0:01:06,6.5
Minnesota Regional Network,2,1,0.00%,100.00%,0:00:04,0
missionary,2,2.5,0.00%,0.00%,0:02:57,4.5
morgan fellows,2,1,0.00%,100.00%,0:00:08,0
morgan major,2,1.5,50.00%,33.33%,0:00:22,0
motto,2,1,50.00%,50.00%,0:00:08,0
mp4,2,1,0.00%,100.00%,0:01:45,6.5
mug shots,2,2,0.00%,25.00%,0:01:01,1
myers,2,5,50.00%,10.00%,0:10:49,4.5
myra brown,2,2,50.00%,50.00%,0:00:11,0
Nason,2,5,50.00%,10.00%,0:04:46,3
news press,2,3,100.00%,0.00%,0:00:19,0
news releases,2,2,100.00%,0.00%,0:00:06,0
noon news bulletin,2,1.5,0.00%,66.67%,0:00:31,0
northfield bridge,2,1,0.00%,50.00%,0:00:48,0.5
nourse hall,2,5.5,0.00%,9.09%,0:06:17,3.5
observatory,2,3.5,0.00%,28.57%,0:12:11,2
ocs,2,3.5,0.00%,28.57%,0:01:58,0.5
off-campus studies,2,2,50.00%,25.00%,0:00:23,0
Off-campus studies collection,2,1.5,100.00%,0.00%,0:00:03,0
old observatory,2,4.5,50.00%,0.00%,0:00:34,1.5
olin,2,4.5,0.00%,0.00%,0:01:02,3
Opening convocation,2,1,0.00%,100.00%,0:01:26,0
orchestra,2,1,50.00%,50.00%,0:06:10,0
pancake hall,2,8.5,50.00%,0.00%,0:21:59,5.5
party,2,6,0.00%,16.67%,0:06:40,4.5
pat lam,2,2,0.00%,50.00%,0:06:48,0
patricia lamb,2,3,0.00%,33.33%,0:03:43,0
pau,2,1.5,0.00%,66.67%,0:00:39,0
paul wellstone,2,3.5,0.00%,14.29%,0:03:02,4.5
PEAR Department Review,2,7,0.00%,14.29%,0:06:32,0
phenix,2,7,0.00%,21.43%,0:13:22,9.5
philip phenix,2,2,100.00%,0.00%,0:00:38,0
philosophy,2,5.5,0.00%,0.00%,0:02:04,9.5
pine hill village,2,6,50.00%,8.33%,0:03:51,0
polio,2,1.5,50.00%,0.00%,0:00:10,0.5
political freshmen,2,1.5,100.00%,0.00%,0:00:03,0
postage stamp prairie,2,2,0.00%,50.00%,0:04:12,20.5
poster,2,8,50.00%,6.25%,0:02:21,1
president's office,2,4.5,0.00%,22.22%,0:04:16,3
promotional video,2,6,0.00%,0.00%,0:24:51,6
raka mitra,2,3,100.00%,0.00%,0:00:16,0
red tie,2,1.5,0.00%,66.67%,0:11:22,0
religion,2,2,0.00%,25.00%,0:05:22,1.5
Residential Life,2,13,50.00%,0.00%,0:06:12,1
rockefeller,2,3,100.00%,0.00%,0:00:25,0
romeo,2,2.5,0.00%,40.00%,0:10:02,5
rules,2,3,50.00%,16.67%,0:01:46,0
sallmon,2,1.5,0.00%,66.67%,0:00:33,1
Sayles-Hill,2,6,50.00%,0.00%,0:00:45,3
science,2,9.5,50.00%,5.26%,0:06:01,7.5
sculpture,2,3,50.00%,16.67%,0:00:46,3
seal,2,7,0.00%,7.14%,0:04:10,0.5
seccomb,2,14,0.00%,10.71%,0:05:41,2.5
Ser. R1,2,2.5,50.00%,20.00%,0:01:56,0
shigemura,2,2.5,50.00%,20.00%,0:01:13,1
skiing,2,4,0.00%,12.50%,0:03:56,3
skis,2,1,0.00%,100.00%,0:01:20,0
social events,2,1.5,50.00%,33.33%,0:04:30,0.5
soldiers,2,2.5,0.00%,40.00%,0:00:21,0.5
sovik,2,1,50.00%,50.00%,0:00:31,1
special events,2,1.5,0.00%,66.67%,0:02:03,1.5
spring concert,2,6.5,0.00%,15.38%,0:00:52,2
Stork,2,41.5,50.00%,2.41%,0:06:36,8
stork retire,2,3,50.00%,33.33%,0:04:54,1
student employment,2,4,0.00%,25.00%,0:02:13,0
student majors,2,1.5,50.00%,33.33%,0:00:16,0
teaching assistant,2,3.5,0.00%,28.57%,0:09:05,0
technology,2,8,0.00%,25.00%,0:03:39,4
tenure review,2,20,50.00%,7.50%,0:04:09,1
test,2,1.5,50.00%,0.00%,0:03:20,1
theat,2,11.5,50.00%,0.00%,0:30:32,34.5
Theater,2,9.5,0.00%,5.26%,0:04:54,9
tim vick,2,2,50.00%,25.00%,0:08:09,0
toff,2,2.5,0.00%,40.00%,0:00:43,0
transcript,2,2.5,50.00%,0.00%,0:00:17,0.5
treasurer's office,2,2,50.00%,25.00%,0:00:34,0
trivia,2,1,0.00%,100.00%,0:00:53,0
tuomi,2,4,0.00%,12.50%,0:05:04,2
vick,2,1,0.00%,100.00%,0:00:10,0
vietnam,2,2.5,0.00%,40.00%,0:00:14,0.5
view of carleton,2,3,0.00%,0.00%,0:01:09,4
violette browne,2,1,50.00%,50.00%,0:07:42,0
