Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
5/12/88,3,3,0.00%,44.44%,0:06:59,0
11/4/88,3,3,0.00%,33.33%,0:00:56,0
8/1/13,3,2.33,0.00%,71.43%,0:02:00,0
2014-07,3,3.67,0.00%,45.45%,0:02:07,0
6/22/15,3,2,33.33%,16.67%,0:11:02,2
2/4/16,3,4.33,33.33%,38.46%,0:15:13,0.67
3/22/16,3,1.33,100.00%,0.00%,0:00:01,0
56907,3,1,33.33%,66.67%,0:00:40,0
56984,3,1.33,0.00%,75.00%,0:00:43,0
58669,3,1.33,0.00%,50.00%,0:02:18,0.33
59264,3,1,0.00%,100.00%,0:03:10,0
59318,3,1,0.00%,100.00%,0:00:09,0
74718,3,1,0.00%,100.00%,0:02:16,0
80 years,3,2,0.00%,50.00%,0:00:20,0
85630,3,1,0.00%,100.00%,0:01:24,0
85632,3,1.33,33.33%,50.00%,0:03:08,0
Additionally,3,8.67,66.67%,7.69%,1:00:08,3.33
airport,3,2.67,0.00%,12.50%,0:08:36,2
alumni convocation,3,1.33,0.00%,75.00%,0:01:19,0
american house,3,3,0.00%,44.44%,0:03:07,2.33
anatolia,3,1.33,0.00%,100.00%,0:04:43,0
anniversary,3,2.33,33.33%,28.57%,0:04:42,0.67
anthropology,3,6,33.33%,22.22%,0:04:34,0.33
Archbold,3,1.67,0.00%,100.00%,0:00:40,0
archives,3,2,33.33%,50.00%,0:04:41,3.67
beanie,3,3.67,100.00%,0.00%,0:03:47,0.33
bertha lincoln,3,2.33,33.33%,28.57%,0:16:56,14.33
bicyc,3,7.33,0.00%,22.73%,0:16:07,9.67
bicycle,3,4.33,100.00%,15.38%,0:09:37,1
bio book,3,2,33.33%,33.33%,0:04:01,1.67
bird,3,2.67,0.00%,25.00%,0:00:59,1.67
black hole,3,2.33,33.33%,28.57%,0:02:07,0.33
bliss,3,1.67,66.67%,20.00%,0:00:14,0
blodgett,3,2,0.00%,50.00%,0:01:11,0
board of trustee,3,3.67,33.33%,9.09%,0:09:44,1.67
bolio,3,2,0.00%,33.33%,0:00:47,0.67
bonnie porte,3,1.67,66.67%,20.00%,0:03:18,0
bouncing,3,4,0.00%,25.00%,0:01:04,3
career center,3,2.67,0.00%,75.00%,0:03:28,0
carleton college a production,3,1,0.00%,100.00%,0:01:04,0
carleton first century,3,1,0.00%,100.00%,0:11:01,0.33
carleton student association,3,3.33,0.00%,50.00%,0:11:15,0.33
chaplain,3,2.33,0.00%,42.86%,0:01:04,0
charles goodsell,3,2,0.00%,16.67%,0:00:16,1
china,3,2,33.33%,33.33%,0:07:49,1
