Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Womens Softball,3,1,0.00%,100.00%,0:00:14,0,0
1883 Football,2,3,0.00%,16.67%,0:00:16,0.5,0
2014-07,2,4.5,0.00%,44.44%,0:02:54,0,0
Alcohol,2,2,50.00%,25.00%,0:00:21,0,0
Alex Robinson,2,2.5,50.00%,0.00%,0:01:05,0.5,0
Alumni,2,2.5,0.00%,40.00%,0:00:29,0,0
Anatolia,2,1.5,0.00%,100.00%,0:04:28,0,0
Annual Reports,2,2.5,0.00%,16.66%,0:01:18,4,1
Arboret,2,2,50.00%,0.00%,0:02:07,1.5,0
Archery,2,2,0.00%,25.00%,0:00:43,1,0
Archives,2,2.5,50.00%,40.00%,0:06:45,5.5,0
Artifacts,2,3.5,0.00%,42.86%,0:02:42,0,0
Band,2,4,0.00%,25.00%,0:03:15,0,0
Bdag,2,3,0.00%,33.33%,0:07:41,1.5,0
Beanie,2,4.5,100.00%,0.00%,0:05:37,0.5,0
Black Hole,2,1.5,50.00%,0.00%,0:00:13,0.5,0
Blind,2,7,0.00%,14.29%,0:01:55,0.5,0
Boliou,2,5,50.00%,0.00%,0:04:30,1,0
Book,2,8,0.00%,12.50%,0:04:10,4,0
Breaking Ground,2,1,100.00%,0.00%,0:00:00,0,0
Brecht,2,2,0.00%,50.00%,0:00:13,0,0
Campus Plan,2,3.5,50.00%,14.29%,0:00:57,0.5,0
Cams,2,1.5,50.00%,33.33%,0:00:52,1,0
Carleton Forest,2,1.5,50.00%,50.00%,0:14:10,0,1
Carleton Players,2,6.5,0.00%,15.38%,0:13:20,0.5,0
Caucasian,2,1.5,0.00%,66.67%,0:09:30,1.5,0
Cave,2,7,50.00%,0.00%,0:01:46,5,0
Center For Math And Computing,2,3.5,0.00%,42.86%,0:00:41,0.5,0
Chalk,2,2,0.00%,50.00%,0:00:38,0.5,0
Chalk Circle,2,1,0.00%,100.00%,0:12:37,8,0
Chapel Organ,2,2,100.00%,0.00%,0:00:53,0,0
Charles Goodsell,2,2,50.00%,0.00%,0:00:05,0.5,1
Charles M. Thompson,2,1,0.00%,100.00%,0:01:29,0,0
Cheerboys,2,1,0.00%,100.00%,0:00:20,0,0
Chemistry,2,11.5,50.00%,13.04%,0:09:19,1.5,0
China,2,2.5,50.00%,20.00%,0:01:11,0.5,0
Cirp,2,1,50.00%,50.00%,0:00:06,0,1
Classroom,2,1,100.00%,0.00%,0:00:00,0,0
Cmc,2,2,0.00%,50.00%,0:01:29,1,1
Co-Op,2,2.5,0.00%,40.00%,0:07:14,0,0
Common Reading,2,1.5,0.00%,75.00%,0:04:08,1,1
Comput,2,4,0.00%,25.00%,0:02:12,2.5,0
Computer Activities Committee,2,1.5,50.00%,33.33%,0:01:50,0,0
Computer Science,2,1.5,50.00%,0.00%,0:00:07,0.5,0
Convocation,2,1,50.00%,50.00%,0:09:58,1.5,0
Cornerstone,2,1,0.00%,100.00%,0:01:07,0,0
Cowling Papers,2,2.5,50.00%,20.00%,0:06:55,0,0
Cujokra,2,4.5,0.00%,0.00%,0:01:18,4,1
Curfew,2,1,0.00%,100.00%,0:00:41,0,0
Dance,2,4,50.00%,12.50%,0:10:08,0.5,0
David Porter,2,3,100.00%,0.00%,0:00:24,0,0
Dean Lodge,2,3.5,0.00%,42.86%,0:00:31,2,0
Dean Of Students,2,1.5,50.00%,25.00%,0:07:28,0,1
Dean Of Women,2,2,0.00%,66.66%,0:01:15,0,1
Demographics,2,1.5,50.00%,33.33%,0:00:18,0,0
Departmental Review,2,2.5,0.00%,40.00%,0:11:00,1,0
Dining,2,2,0.00%,25.00%,0:04:39,12,0
Directory,2,2.5,50.00%,20.00%,0:01:27,0,0
Divestment,2,3.5,0.00%,28.57%,0:02:41,2,0
Dixon Bond,2,2,100.00%,0.00%,0:02:16,1,0
Donald Cowling,2,2.5,0.00%,40.00%,0:01:21,0,0
Dorm,2,4,0.00%,25.00%,0:02:13,3,0
Dorms,2,2,50.00%,25.00%,0:01:28,0,0
Douglas House,2,3.5,50.00%,14.29%,0:00:59,0.5,0
Duncan Stewart,2,4,50.00%,0.00%,0:04:23,4.5,0
Economics,2,4.5,100.00%,0.00%,0:01:04,0.5,0
Elizabeth Cowling,2,3.5,0.00%,29.16%,0:10:42,2,1
Elle Hansen,2,3,0.00%,66.67%,0:00:43,1,0
Endowment,2,8.5,0.00%,17.65%,0:06:32,0,0
Erling,2,1.5,0.00%,66.67%,0:00:21,0,0
Facilities,2,2,50.00%,25.00%,0:01:46,0,0
Faculty,2,1,50.00%,50.00%,0:00:10,0,0
Faculty Affairs Committee,2,3,0.00%,66.67%,0:06:12,0,1
Feminist,2,1,100.00%,0.00%,0:00:00,0,0
First Day,2,2,0.00%,50.00%,0:01:46,1.5,0
Flood,2,3.5,100.00%,0.00%,0:01:51,0,0
Flowers,2,4.5,100.00%,22.22%,0:01:22,3,0
Food,2,1.5,50.00%,33.33%,0:01:51,0.5,0
Foundations,2,1,0.00%,100.00%,0:01:35,0,0
France,2,1.5,0.00%,66.67%,0:01:25,0.5,0
Frank Wright,2,3.5,50.00%,14.29%,0:00:25,0.5,0
Freshman,2,3,0.00%,33.33%,0:02:10,0,0
Freshman Honors,2,1,0.00%,100.00%,0:00:13,0,1
Furioso,2,2.5,0.00%,40.00%,0:03:39,0,0
Genevieve Tucker,2,2,50.00%,25.00%,0:01:05,0,0
Goat,2,4.5,0.00%,11.11%,0:02:09,3,0
Gould Day,2,2.5,50.00%,25.00%,0:02:35,1,1
Gould Red,2,1,100.00%,0.00%,0:00:00,0,0
