Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Hundred Years,2,2.5,50.00%,40.00%,0:00:21,0,0
Interest House,2,1,50.00%,50.00%,0:00:05,0,1
International,2,1.5,50.00%,33.33%,0:00:15,0,0
Interview Video,2,8,50.00%,6.25%,0:02:16,0,0
Iseminger,2,1,0.00%,50.00%,0:06:56,0.5,0
James Flint,2,1,50.00%,50.00%,0:00:15,0,1
James Watkins,2,1,50.00%,50.00%,0:00:10,0,1
James Woodward Strong,2,2.5,0.00%,50.00%,0:04:41,13.5,1
Jan Elder,2,3.5,0.00%,45.84%,0:12:29,0,1
Jensen,2,1,0.00%,100.00%,0:00:22,0.5,1
Joseph Haywood,2,1,0.00%,100.00%,0:00:25,0,1
Korean War,2,4,0.00%,58.34%,0:04:14,0,1
Laird Field,2,3.5,0.00%,14.29%,0:08:04,4.5,0
Land Deeds,2,3.5,0.00%,50.00%,0:16:25,5,1
Late Night Trivia,2,1,0.00%,100.00%,0:05:16,0,0
Laurence Gould,2,3.5,50.00%,12.50%,0:03:08,0,1
Leal Headley,2,3,100.00%,0.00%,0:01:38,2,1
Lewis Chapel,2,1,0.00%,100.00%,0:00:14,0,1
Lindsey Blaney,2,2,50.00%,75.00%,0:00:18,0,1
Lyle O. Estenson,2,3.5,100.00%,0.00%,0:00:42,1.5,1
Macbeth,2,2,0.00%,50.00%,0:01:18,1.5,1
Madrigal,2,2,0.00%,0.00%,0:05:14,1.5,0
Magnetic Tape,2,2,0.00%,25.00%,0:03:05,1.5,0
Majors,2,3,0.00%,70.00%,0:04:26,9,1
Manuscript,2,1,0.00%,100.00%,0:01:22,0,0
Marie Marshman,2,1,0.00%,100.00%,0:00:43,0,1
Marielle,2,1,50.00%,50.00%,0:00:02,0,1
Marsovan,2,1,0.00%,100.00%,0:14:06,0.5,1
Martha Donaldson,2,2.5,0.00%,0.00%,0:04:14,3,0
Mary Savina,2,2.5,50.00%,0.00%,0:00:32,0.5,1
Master Plan,2,3,50.00%,16.67%,0:00:29,0,0
Maxwell,2,2.5,50.00%,12.50%,0:03:41,2,1
Medley,2,1.5,100.00%,0.00%,0:00:10,0,0
Men's Golf,2,5.5,50.00%,9.09%,0:02:19,2.5,0
Men's Gymnasium West,2,1,0.00%,100.00%,0:06:33,0,1
Metric Football,2,2.5,0.00%,60.00%,0:02:43,0.5,0
Miac,2,16.5,0.00%,28.23%,0:28:29,19.5,1
Minnesota Regional Network,2,1,0.00%,100.00%,0:00:04,0,0
Missionary,2,2.5,0.00%,0.00%,0:02:57,4.5,0
Morgan Major,2,1.5,50.00%,33.33%,0:00:22,0,0
Motto,2,1,50.00%,50.00%,0:00:08,0,0
Mr Net,2,1.5,0.00%,75.00%,0:00:35,0,1
Mug Shots,2,2,0.00%,25.00%,0:01:01,1,0
Myers,2,5,50.00%,10.00%,0:10:49,4.5,0
