Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Boliou,1,1,0.00%,100.00%,0:00:10,0
bill calhoun,1,1,0.00%,100.00%,0:00:18,0
bill hanlon,1,1,0.00%,100.00%,0:00:18,0
Bill Heinemann,1,1,0.00%,100.00%,0:00:15,0
bill jacobs,1,2,100.00%,0.00%,0:02:13,0
bill libbey,1,4,0.00%,50.00%,0:00:38,0
"Bill Mitchell '08, photographer",1,1,0.00%,100.00%,0:00:20,0
bio art,1,3,0.00%,33.33%,0:01:12,0
bio art,1,1,0.00%,100.00%,0:00:08,0
bio book,1,2,0.00%,50.00%,0:10:34,5
bio files,2,1.5,50.00%,33.33%,0:02:45,0
biographical,1,1,0.00%,100.00%,0:02:02,0
Biography,1,1,0.00%,100.00%,0:00:20,0
biology,1,4,0.00%,25.00%,0:01:49,4
biology,1,1,100.00%,0.00%,0:00:00,0
biology,1,1,0.00%,100.00%,0:00:56,0
biology department,1,1,0.00%,100.00%,0:02:37,0
biology department,1,1,0.00%,100.00%,0:00:13,0
bird plan,1,1,0.00%,100.00%,0:21:30,1
bird's-eye,1,1,0.00%,0.00%,0:11:35,6
bird's-eye,1,1,0.00%,100.00%,0:00:13,0
birnbaum bureau,1,1,0.00%,100.00%,0:01:43,0
birnbaum fortune,1,1,0.00%,100.00%,0:01:12,0
Bjsdhhuksf,1,2,0.00%,100.00%,0:01:29,0
black,1,3,0.00%,33.33%,0:08:26,2
black at carleton,4,1.5,50.00%,33.33%,0:05:03,0.75
Black History Month Convocation,1,1,0.00%,100.00%,0:01:37,0
Black History Month Convocation,1,1,0.00%,100.00%,0:00:53,0
black hole,1,2,100.00%,0.00%,0:00:04,0
blackface,1,2,0.00%,50.00%,0:00:32,1
blackmon slavery,1,1,100.00%,0.00%,0:00:00,0
blaich inquiry,1,4,0.00%,50.00%,0:02:21,0
blatt,2,1.5,50.00%,66.67%,0:00:41,0
blayney,1,2,0.00%,100.00%,0:05:09,0
Bliss,1,4,0.00%,0.00%,0:01:16,1
blodgett wellstone,1,2,0.00%,50.00%,0:02:02,0
bloomberg markets,1,1,0.00%,100.00%,0:00:54,0
blue crosses,1,1,0.00%,100.00%,0:03:16,0
blueprint,3,3,33.33%,33.33%,0:02:52,5
blueprint,1,2,0.00%,0.00%,0:00:28,2
Blythe,1,1,0.00%,100.00%,0:02:06,7
"Blythe Clinchy, professor of psychology at Wellesley College",1,1,0.00%,100.00%,0:00:31,0
board game,1,1,0.00%,100.00%,0:29:19,0
board game,1,2,0.00%,50.00%,0:00:30,0
board long range,1,1,0.00%,100.00%,0:00:15,0
board of trustees,2,1.5,0.00%,66.67%,0:10:08,0.5
board of trustees,1,2,0.00%,0.00%,0:03:48,4
board of trustees,1,3,0.00%,33.33%,0:02:32,0
