"305280","158165","Originals or Copies Note","01:02:18","Least Diff: 00:00:18","Greatest Diff: 00:00:18","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 1h 2m VHSem 1:02:18 97/8C","8"
"305277","158164","Originals or Copies Note","00:55:22","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 55:22 AABox14","13"
"305268","158163","Originals or Copies Note","00:52:01","Least Diff: 00:00:01","Greatest Diff: 00:00:01","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 52m VHSem 52:01 97/8C","8"
"305265","158162","Originals or Copies Note","00:57:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 57:00 AABox14","13"
"305259","158161","Originals or Copies Note","01:02:09","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:02:09 AABox14","13"
"305257","158161","Originals or Copies Note","01:02:17","Least Diff: 00:00:17","Greatest Diff: 00:00:17","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 1h 2m VHSem 1:02:17 97/8C","8"
"305254","158160","Originals or Copies Note","00:59:55","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 59:55 AABox14","13"
"305252","158160","Originals or Copies Note","01:00:00","Least Diff: 00:00:12","Greatest Diff: 00:00:12","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 1h VHSem 59:48 97/8C","8"
"305234","158156","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","DAT Orig AABox14","13"
"305232","158156","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","S-VHS Orig 97/8C","8"
"305226","158155","Originals or Copies Note","01:25:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","9: S-VHS Orig; 1h 25m 15: S-VHS Orig; 55 m 97/8C","8"
"305218","158153","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","Betacam Edit Master VHS Commercial Dub 97/7C","8"
"305214","158152","Originals or Copies Note","01:03:30","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","~1:03:30 without unrelated opening announcement","13"
"305209","158151","Originals or Copies Note","01:12:52","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:12:52 AABox15","13"
