"304822","158071","Originals or Copies Note","CD60 38:23 AABox19","13"
"304817","158070","Originals or Copies Note","Data files on CD CD90 72:13 AABox19","13"
"304812","158067","Originals or Copies Note","DAT orig Data files on CD (overflow 22Sep00 AudioCD 59:35 CD60 59:40 (#2) (AABox19)","13"
"304807","158066","Originals or Copies Note","Data files on CD CD60 55:50 AABox19","13"
"304802","158065","Originals or Copies Note","Data files on CD CD90 1:07:06 AABox19","13"
"304798","158064","Originals or Copies Note","Data files on CD CD60 59:51 AABox19","13"
"304793","158063","Originals or Copies Note","Data files on CD CD90 1:09:28 AABox19","13"
"304789","158062","Originals or Copies Note","Data files on CD CD901:01:22 AABox19","13"
"304784","158061","Originals or Copies Note","Data files on CD CD60 59:23 AABox19","13"
"304779","158060","Originals or Copies Note","Data files on CD CD601:01:19; AudioCD 1:01:16 AABox19","13"
"304771","158058","Originals or Copies Note","Data files on CD x2 AudioCD 62:21 CD90 1:02:20; AABox19","13"
"304766","158057","Originals or Copies Note","Data files on CD x2 CD60 57:31 AudioCD 57:29 AABox19","13"
"304761","158056","Originals or Copies Note","*DAT Original Data files on CD x3 CD60 50:24 AudioCD 50:08 AABox19","13"
"304756","158055","Originals or Copies Note","Data files on CD CD60x2 1:16:08 AABox19","13"
"304751","158054","Originals or Copies Note","Data files on CD CD90 68L36 AudioCD 68:36 AABox19","13"
"304746","158053","Originals or Copies Note","DAT orig Data files on CD x2 AudioCD 57:36","13"
"304741","158052","Originals or Copies Note","Data files on CD (No AudioCD) CD90 89:24; AABox19","13"
"304736","158051","Originals or Copies Note","CD60 58:10 Data files on CD AudioCD 58:17 CD60 58:19; AABox19","13"
"304731","158050","Originals or Copies Note","Data files on CD AudioCD 71:21 MC90 1:11:26; AABox19","13"
"304726","158049","Originals or Copies Note","Data files on CD AudioCD 70:07 CD90 1:10:09; AABox20","13"
"304721","158048","Originals or Copies Note","Data files on CD AudioCD 75:25 MC90 1:15:29; AABox20","13"
"304715","158047","Originals or Copies Note","Data files on CD MC 90 1:17:55; AABox20","13"
"304710","158046","Originals or Copies Note","Data files on CD MC90 37:47; AABox20","13"
"304705","158045","Originals or Copies Note","Data files on CD MC90 1:26:14; AABox20","13"
"304700","158044","Originals or Copies Note","Data files on CD (rmr PresReport) MC60 x2 1:33:19; AABox20","13"
"304695","158043","Originals or Copies Note","Data files on CD NC60 56:54; AABox20","13"
"304690","158042","Originals or Copies Note","Data files on CD MC90 1:30:13; AABox20","13"
"304685","158041","Originals or Copies Note","Data files on CD MC90 33:18; AABox20","13"
"304680","158040","Originals or Copies Note","Data files on CD MC90 35:59; AABox20","13"
"304675","158039","Originals or Copies Note","Data files on CD MC90 34:19; AABox20","13"
"304670","158038","Originals or Copies Note","Data files on CD MC90 34:19; AABox20","13"
"304665","158037","Originals or Copies Note","Data files on CD MC90 38:28; AABox20","13"
"304660","158036","Originals or Copies Note","Data files on CD Original Cassette 16:23 (where?)","13"
"304656","158035","Originals or Copies Note","Data files on CD (b: rmr) a: AudioCD 1:09:02 a: MC90 1:09:06 b: MC60 22:42; AABox20","13"
"304651","158034","Originals or Copies Note","Data files on CD AudioCD 1:00:03 MC60 1:00:32; AABox20","13"
"304646","158033","Originals or Copies Note","Data files on CD AudioCD 1:05:04 MC90 1:05:06; AABox20","13"
"304641","158032","Originals or Copies Note","Data files on CD AudioCD 50:53; MC60 50:54 AABox20","13"
"304636","158031","Originals or Copies Note","Data files on CD x5 a: MC60 50:24 b: MC60 53:53 c: MC90 1:13:19; AABox20","13"
